0,54
1,133
2,76
3,67
4,40
5,39
6,46
7,23
8,9
9,24
10,25
11,28
12,8
13,28
14,16
15,11
16,23
17,11
18,21
19,17
20,25
21,18
22,8
23,2
24,4
25,10
26,5
27,10
28,4
29,1
30,8
31,0
32,16
33,3
34,9
35,0
36,4
37,4
38,3
39,14
40,2
41,3
42,2
43,10
44,2
45,4
46,4
47,1
48,0
49,0
50,13
51,0
52,0
53,8
54,2
55,3
56,3
57,0
58,1
59,2
60,5
61,1
62,0
63,0
64,0
65,15
66,3
67,2
68,2
69,3
70,0
71,0
72,0
73,1
74,0
75,3
76,1
77,10
78,5
79,6
80,3
81,2
82,0
83,0
84,0
85,2
86,2
87,0
88,5
89,4
90,3
91,2
92,0
93,2
94,3
95,0
96,3
97,2
98,1
99,2
100,0
